LIQUIDITY_POOL_ADDRESS,POOL_NAME,TOKEN0_ADDRESS,TOKEN0_DECIMALS,TOKEN1_ADDRESS,TOKEN1_DECIMALS,FEE
0x9e588733b77abd51879f391fce7beb6a1de7bdbd,uniswap: WETH-RAINI 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xeb953eda0dc65e3246f43dc8fa13f35623bdd5ed,18,10000
0xdfde79f36d2a76a1e096504d241c7d82c5cd22fe,uniswap: WETH-FINALE 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc7a2572fa8fdb0f7e81d6d3c4e3ccf78fb0dc374,18,10000
0xb2c86ff752f18499b70e8f642b3421405d50d6e9,uniswap: WBTC-SAITABIT 10000,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,0x927402ab67c0cda3c187e9dfe34554ac581441f2,18,10000
0x884e973aa5535118e3287659b0049df0de0e669d,uniswap: USDC-ADS 100,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xcfcecfe2bd2fed07a9145222e8a7ad9cf1ccd22a,11,100
0x76838fd2f22bdc1d3e96069971e65653173edb2a,uniswap: WETH-KNC 3000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18,3000
0x93f267fd92b432bebf4da4e13b8615bb8eb2095c,uniswap: GUSD-USDC 3000,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,3000
0xe05e653453f733786f2dabae0ffa1e96cfcc4b25,uniswap: HEX-USDC 10000,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,10000
0xb442a660450aeb6bd852438ed32ee7a519c0da4f,uniswap: MAV-WETH 10000,0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xe935fac6b950539f37450f80c76325a6b2232725,uniswap: VINU-WETH 3000,0xafcdd4f666c84fed1d8bd825aa762e3714f652c9,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xb1debb65d12ad152f61327af474ececff5ae3aed,uniswap: IBIT-WETH 10000,0x8b385ca3592a5efc34e0c9fe663de56897f1751f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x6208e69d3253420d995592c32e2d5a3918f8654f,uniswap: OSAK-WETH 10000,0xa21af1050f7b26e0cff45ee51548254c41ed6b5c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x0ce2f0a319fe761e8ca975414558c12900c717c2,uniswap: WETH-GETH 10000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xdd69db25f6d620a7bad3023c5d32761d353d3de9,18,10000
0x03bc32cbaf0516945db77a32f2479379585aa17b,uniswap: KNIGHT-WETH 10000,0x3541a5c1b04adaba0b83f161747815cd7b1516bc,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x5b0d2536f0c970b8d9cbf3959460fb97ce808ade,uniswap: AXL-USDC 100,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,100
0x60a531c09dc5b6bb82ee5c6b07ad5eed6954c929,uniswap: DAI-GLM 10000,0x6b175474e89094c44da98b954eedeac495271d0f,18,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,18,10000
0x7efd2626ee9ba89b46630c4bbf684561abab6733,uniswap: LINA-USDC 3000,0x3e9bc21c9b189c09df3ef1b824798658d5011937,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,3000
0xbbd3cacec067f5f3a6c4c34f7931e66453438361,uniswap: PXP-WETH 10000,0x95aa5d2dbd3c16ee3fdea82d5c6ec3e38ce3314f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xf36512f70105c696f84a179ffd8eda682ccea0c0,uniswap: USDC-HVE2 3000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xd487892bb4c57edbe7ab401d9fe801c8fe6473f5,18,3000
0x5112b866cfc9223124cc2eada116f3f396101567,uniswap: CERES-WETH 3000,0x2e7b0d4f9b2eaf782ed3d160e3a0a4b1a7930ada,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x1512639d5da6968a041a5ba0e333241e431c3413,uniswap: MEMAG-WETH 3000,0x6e39a587691b8c9d4341ce0a960998ed6f537af6,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x62d20d2a0e82785636388d93fd027ab2f7458b66,uniswap: USDC-PRTC 3000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xb9098d3669a78e9afe8b94a97290407400d9da31,18,3000
0x71ebadb8f2acf42037fac8d1545e41071274e89b,uniswap: FXS-USDT 3000,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,3000
0xf5ce0293c24fd0990e0a5758e53f66a36ca0118f,uniswap: SNX-WETH 10000,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x11456b3750e991383bb8943118ed79c1afdee192,uniswap: TCAP-WETH 3000,0x16c52ceece2ed57dad87319d91b5e3637d50afa4,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0xcf7e21b96a7dae8e1663b5a266fd812cbe973e70,uniswap: gOHM-WETH 10000,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xb3096cac96f077ae7078d793d50acf7eb8f5fcb6,uniswap: WHEE-WETH 10000,0x2512c545a0117353e4e9acddff860342640d3cf6,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x22787e4f55281ae18ceb8105cb8642269cce8f1e,uniswap: SQUIG-WETH 10000,0x373acda15ce392362e4b46ed97a7feecd7ef9eb8,4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x47541d068e1289297e1ef66277507116a26de860,uniswap: USDC-HBOT 3000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xe5097d9baeafb89f9bcb78c9290d545db5f9e9cb,18,3000
0xb60b34d830f26c5a11c47ddb1e0a1f31d90a78b1,uniswap: DIA-WETH 3000,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x94d0ba2c98211852f0a41e13f83cbb522ebcc090,uniswap: WETH-GYEN 500,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,0xc08512927d12348f6620a698105e1baac6ecd911,6,500
0xef44c6155db66e9e17165d78787feceee2e132a4,uniswap: RICK-WETH 10000,0x75430d0782a443bd4f1c92c69009599dea53a206,9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0x38564fd85b185c305166f4cc7039583f43d0558d,uniswap: USDC-BCAU 10000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,0xa64efd5fe826f62e310a951332b519e1e3871489,18,10000
0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,uniswap: STC-WETH 10000,0x15b543e986b8c34074dfc9901136d9355a537e7e,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xac2902305bcf5f6e46b44a368fa7e15cd1d7192f,uniswap: indexETH-WETH 3000,0x3ff17b85b77386d8de77fb9532e6f5a49b66e114,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x5557966239e08bacc96c38a798f53277644ca20c,uniswap: PEPE-MATIC 500,0x6982508145454ce325ddbe47a25d4ec3d2311933,18,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18,500
0xf0e02cf61b31260fd5ae527d58be16312bda59b1,uniswap: rETH-WETH 3000,0xae78736cd615f374d3085123a210448e74fc6393,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,3000
0x765a560de8a6cd47c1f3ef79d7142f8172cd9229,uniswap: FMB-USDT 3000,0x52284158e02425290f6b627aeb5fff65edf058ad,18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,3000
0x2f34b59810ced52682decfff1c4d8796d49e5f0f,uniswap: PEPE3R-WETH 100,0x16d4b07caea93ba8b6dc441bec7c1cdb8de6d7b8,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,100
0xe0498f8c24ea70724abd27cd9511daead3dbc0a0,uniswap: OBI-USDT 3000,0xbb3a8fd6ec4bf0fdc6cd2739b1e41192d12b1873,18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,3000
0xcf42c68239a717bfe6009dae03f21967b655677e,uniswap: LIL-WETH 10000,0x575252412acdeeceb7c08db0ee3ce75b33cadbdb,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,10000
0xc63bb808dcde204b03da2ab275f06aa2da669dc2,uniswap: M2-WETH 100,0x965d79f1a1016b574a62986e13ca8ab04dfdd15c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,100
0xbf2df9ca400a3befbb46953ed3e6f2e651405a14,uniswap: UNIBOT-USDT 10000,0x25127685dc35d4dc96c7feac7370749d004c5040,18,0xdac17f958d2ee523a2206206994597c13d831ec7,6,10000
0x4594910245b585a90003ad2dd7445ff2f3f84be2,uniswap: wMEMO-USDC 10000,0x3b79a28264fc52c7b4cea90558aa0b162f7faf57,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,10000
